Project Full Code,Activity Name,Quantity,Input Type,Section,Drilled Meters
P495,P495 ‣ Deep Well Installation ‣ 0,1,Planned,,
P5004-72-P,P5004-72-P ‣ Integrity Test ‣ 2,55,Planned,,
P5004-72-P,P5004-72-P ‣ Dynamic Test ‣ 3,1,Planned,,
P5004-72-P,P5004-72-P ‣ Deep Well Installation ‣ 0,5,Planned,,
P5004-73-P,P5004-73-P ‣ Dynamic Test ‣ 3,1,Planned,,
P5009,P5009 ‣ C.Piles 1500mm ‣ 0,3,Planned,,
P5021,P5021 ‣ Soldier Pile (H. Beams) ‣ 0,9,Planned,,
P5023,P5023 ‣ CMC Column ‣ 1,6,Planned,,
P5023,P5023 ‣ Stone Column ‣ 2,6,Planned,,
P5025-L,P5025-C ‣ Strut Work - Third Row - Infra ‣ Launching Pit,1,Planned,,
P5026,P5026 ‣ Stone Column ‣ 0,8,Planned,,
P5027,P5027 ‣ Vibro Compaction ‣ 0,10,Planned,,
P5030,P5030 ‣ Stone Column ‣ 0,4,Planned,,
P5031,P5031 ‣ Vibro Compaction ‣ 0,9,Planned,,
P4110-P,P4110-P ‣ C.Piles 1500mm ‣ 3,17,Planned,,
P486,P486 ‣ Excavation Above WL ‣ 0,298,Planned,,
P466-F09,P466-F09 ‣ Strut Work ‣ 1,1,Planned,,
P466-F10,P466-F10 ‣ Mobilization ‣ 0,1,Planned,,
P478,P478 ‣ Secant Pile ‣ 1,4,Planned,,
P478,P478 ‣ Guide Wall ‣ 2,23,Planned,,
P5003-S,P5003-S ‣ Secant Pile ‣ 2,7,Planned,,
P5025-L,P5025-C ‣ Strut Work - Third Row - Infra ‣ Launching Pit,1,Planned,,
P5025-C,P5025-C ‣ Strut Work - Third Row - Infra ‣ Receiving Pit,1,Planned,,
P369,P369 ‣ Anchoring ‣ 0,25,Planned,,
P5025-C,P5025-C ‣ Strut Work - Third Row - Infra ‣ Receiving Pit,1,Planned,,
P4100,P4100 ‣ Stone Column ‣ 0,10,Planned,,
P4109,P4109 ‣ Supply & Installation of Concrete Panels ‣ 1,20,Planned,,
P4111,P4111 ‣ Supply of Concrete Panel ‣ 0,30,Planned,,
P495,P495 ‣ Deep Well Installation ‣ 0,1,Planned,,
P5004-72-P,P5004-72-P ‣ Integrity Test ‣ 2,55,Planned,,
P5009,P5009 ‣ C.Piles 1500mm ‣ 0,3,Planned,,
P5021,P5021 ‣ Soldier Pile (H. Beams) ‣ 0,9,Planned,,
P5023,P5023 ‣ CMC Column ‣ 1,6,Planned,,
P5023,P5023 ‣ Stone Column ‣ 2,6,Planned,,
P5025-C,P5025-C ‣ Strut Work - Third Row - Infra ‣ Receiving Pit,1,Planned,,
P5026,P5026 ‣ Stone Column ‣ 0,8,Planned,,
P5027,P5027 ‣ Vibro Compaction ‣ 0,10,Planned,,
P5030,P5030 ‣ Stone Column ‣ 0,4,Planned,,
P5031,P5031 ‣ Vibro Compaction ‣ 0,9,Planned,,
P5038,P5038 ‣ Site Preliminaries -Soil Improvement ‣ 0,1,Planned,,
P5038,P5038 ‣ Mobilization Works -Soil Improvement ‣ 0,1,Planned,,
P4110-P,P4110-P ‣ C.Piles 1500mm ‣ 3,17,Planned,,
P486,P486 ‣ Excavation Above WL ‣ 0,298,Planned,,
P478,P478 ‣ Secant Pile ‣ 1,4,Planned,,
P478,P478 ‣ Guide Wall ‣ 2,23,Planned,,
P5003-S,P5003-S ‣ Secant Pile ‣ 2,7,Planned,,
P5025-C,P5025-C ‣ Strut Work - Third Row - Infra ‣ Receiving Pit,1,Planned,,
P4100,P4100 ‣ Stone Column ‣ 0,10,Planned,,
P4109,P4109 ‣ Supply & Installation of Concrete Panels ‣ 1,20,Planned,,
P495,P495 ‣ Deep Well Installation ‣ 0,1,Planned,,
P5003-P,P5003-P ‣ Mobilization ‣ 0,1,Planned,,
P5004-72-P,P5004-72-P ‣ Dynamic Test ‣ 3,1,Planned,,
P5004-73-P,P5004-73-P ‣ Dynamic Test ‣ 3,2,Planned,,
P5009,P5009 ‣ C.Piles 1500mm ‣ 0,3,Planned,,
P5021,P5021 ‣ Soldier Pile (H. Beams) ‣ 0,9,Planned,,
P5023,P5023 ‣ CMC Column ‣ 1,6,Planned,,
P5023,P5023 ‣ Stone Column ‣ 2,6,Planned,,
P5025-E,P5025-E ‣ Mobilization - Infra ‣ 0,1,Planned,,
P5025-E,P5025-E ‣ Predrilling for Sheet Piles - Infra ‣ Launching Pit,2,Planned,,
P5026,P5026 ‣ Stone Column ‣ 0,8,Planned,,
P5027,P5027 ‣ Vibro Compaction ‣ 0,10,Planned,,
P5030,P5030 ‣ Stone Column ‣ 0,5,Planned,,
P5031,P5031 ‣ Vibro Compaction ‣ 0,10,Planned,,
P4110-P,P4110-P ‣ C.Piles 1500mm ‣ 3,17,Planned,,
P486,P486 ‣ Excavation Above WL ‣ 0,298,Planned,,
P478,P478 ‣ Secant Pile ‣ 1,4,Planned,,
P5003-S,P5003-S ‣ Secant Pile ‣ 2,7,Planned,,
P5025-E,P5025-E ‣ Predrilling for Sheet Piles - Infra ‣ Launching Pit,2,Planned,,
P4100,P4100 ‣ Stone Column ‣ 0,10,Planned,,
P4109,P4109 ‣ Supply & Installation of Concrete Panels ‣ 1,20,Planned,,
P495,P495 ‣ Deep Well Installation ‣ 0,1,Planned,,
P5009,P5009 ‣ C.Piles 1500mm ‣ 0,3,Planned,,
P5021,P5021 ‣ Supply of Concrete Panel ‣ 0,15,Planned,,
P5023,P5023 ‣ CMC Column ‣ 1,6,Planned,,
P5023,P5023 ‣ Stone Column ‣ 2,6,Planned,,
P5025-E,P5025-E ‣ Predrilling for Sheet Piles - Infra ‣ Launching Pit,2,Planned,,
P5026,P5026 ‣ Stone Column ‣ 0,8,Planned,,
P5027,P5027 ‣ Vibro Compaction ‣ 0,10,Planned,,
P5030,P5030 ‣ Stone Column ‣ 0,5,Planned,,
P5031,P5031 ‣ Vibro Compaction ‣ 0,10,Planned,,
P4110-P,P4110-P ‣ C.Piles 1500mm ‣ 3,17,Planned,,
P486,P486 ‣ Excavation Above WL ‣ 0,298,Planned,,
P478,P478 ‣ Secant Pile ‣ 1,4,Planned,,
P5003-S,P5003-S ‣ Secant Pile ‣ 2,7,Planned,,
P486,P486 ‣ Excavation -2.00m ‣ 0,160,Planned,,
P5025-E,P5025-E ‣ Predrilling for Sheet Piles - Infra ‣ Launching Pit,2,Planned,,
P4100,P4100 ‣ Stone Column ‣ 0,10,Planned,,
P4109,P4109 ‣ Supply & Installation of Concrete Panels ‣ 1,20,Planned,,
P495,P495 ‣ Deep Well Installation ‣ 0,1,Planned,,
P5007,P5007 ‣ Guide Wall ‣ 1,25,Planned,,
P5009,P5009 ‣ C.Piles 1500mm ‣ 0,3,Planned,,
P5021,P5021 ‣ Supply of Concrete Panel ‣ 0,20,Planned,,
P5023,P5023 ‣ CMC Column ‣ 1,6,Planned,,
P5023,P5023 ‣ Stone Column ‣ 2,6,Planned,,
P5025-E,P5025-E ‣ Predrilling for Sheet Piles - Infra ‣ Launching Pit,2,Planned,,
P5025-E,P5025-E ‣ Predrilling for Sheet Piles - Infra ‣ Launching Pit,2,Planned,,
P5025-E,P5025-E ‣ Predrilling for Sheet Piles - Infra ‣ Launching Pit,2,Planned,,
P5026,P5026 ‣ Stone Column ‣ 0,8,Planned,,
P5027,P5027 ‣ Post-CPT ‣ 0,2,Planned,,
P5030,P5030 ‣ Stone Column ‣ 0,5,Planned,,
P5031,P5031 ‣ Vibro Compaction ‣ 0,10,Planned,,
P4110-P,P4110-P ‣ C.Piles 1500mm ‣ 3,17,Planned,,
P466-F09,P466-F09 ‣ Strut Work ‣ 1,1,Planned,,
P478,P478 ‣ Secant Pile ‣ 1,4,Planned,,
P5003-S,P5003-S ‣ Secant Pile ‣ 2,7,Planned,,
P486,P486 ‣ Excavation -2.00m ‣ 0,160,Planned,,
P5025-E,P5025-E ‣ Predrilling for Sheet Piles - Infra ‣ Launching Pit,2,Planned,,
P4100,P4100 ‣ Stone Column ‣ 0,10,Planned,,
P4109,P4109 ‣ Excavation to General PL ‣ 1,500,Planned,,
P4109,P4109 ‣ Soldier Pile (H. Beams) ‣ 2,5,Planned,,
P5007,P5007 ‣ Guide Wall ‣ 1,25,Planned,,
P5009,P5009 ‣ C.Piles 1500mm ‣ 0,4,Planned,,
P5021,P5021 ‣ Supply of Concrete Panel ‣ 0,20,Planned,,
P5023,P5023 ‣ CMC Column ‣ 1,6,Planned,,
P5023,P5023 ‣ Stone Column ‣ 2,6,Planned,,
P5025-E,P5025-E ‣ Predrilling for Sheet Piles - Infra ‣ Launching Pit,3,Planned,,
P5025-E,P5025-E ‣ Predrilling for Sheet Piles - Infra ‣ Launching Pit,3,Planned,,
P5025-E,P5025-E ‣ Predrilling for Sheet Piles - Infra ‣ Launching Pit,3,Planned,,
P5026,P5026 ‣ Stone Column ‣ 0,8,Planned,,
P5027,P5027 ‣ Post-CPT ‣ 0,2,Planned,,
P5030,P5030 ‣ Stone Column ‣ 0,5,Planned,,
P5031,P5031 ‣ Vibro Compaction ‣ 0,10,Planned,,
P4110-P,P4110-P ‣ C.Piles 1500mm ‣ 3,17,Planned,,
P478,P478 ‣ Secant Pile ‣ 1,4,Planned,,
P5003-S,P5003-S ‣ Secant Pile ‣ 2,7,Planned,,
P486,P486 ‣ Excavation -2.00m ‣ 0,160,Planned,,
P5025-E,P5025-E ‣ Predrilling for Sheet Piles - Infra ‣ Launching Pit,3,Planned,,
P4100,P4100 ‣ Stone Column ‣ 0,10,Planned,,
P4109,P4109 ‣ Excavation to General PL ‣ 1,500,Planned,,
P4109,P4109 ‣ Soldier Pile (H. Beams) ‣ 2,6,Planned,,
P5007,P5007 ‣ Guide Wall ‣ 1,25,Planned,,
P5009,P5009 ‣ C.Piles 1500mm ‣ 0,4,Planned,,
P5021,P5021 ‣ Supply of Concrete Panel ‣ 0,20,Planned,,
P5023,P5023 ‣ CMC Column ‣ 1,6,Planned,,
P5023,P5023 ‣ Stone Column ‣ 2,6,Planned,,
P5025-E,P5025-E ‣ Predrilling for Sheet Piles - Infra ‣ Launching Pit,3,Planned,,
P5025-E,P5025-E ‣ Predrilling for Sheet Piles - Infra ‣ Launching Pit,3,Planned,,
P5025-E,P5025-E ‣ Predrilling for Sheet Piles - Infra ‣ Launching Pit,3,Planned,,
P5026,P5026 ‣ Stone Column ‣ 0,8,Planned,,
P5027,P5027 ‣ Post-CPT ‣ 0,2,Planned,,
P5030,P5030 ‣ Plate Load Test ‣ 0,1,Planned,,
P5031,P5031 ‣ Vibro Compaction ‣ 0,10,Planned,,
P5032-SI,P5032-SI ‣ Site Preliminaries -Soil Improvement ‣ 0,1,Planned,,
P5032-SI,P5032-SI ‣ Mobilization Works -Soil Improvement ‣ 0,1,Planned,,
P5044,P5044 ‣ Pre-CPT ‣ 0,6,Planned,,
P4110-P,P4110-P ‣ C.Piles 1200mm ‣ 4,17,Planned,,
P4110-P,P4110-P ‣ Caliper Logging Test ‣ 0,9,Planned,,
P478,P478 ‣ Secant Pile ‣ 1,4,Planned,,
P5003-S,P5003-S ‣ Secant Pile ‣ 2,7,Planned,,
P486,P486 ‣ Excavation -2.00m ‣ 0,160,Planned,,
P5025-E,P5025-E ‣ Predrilling for Sheet Piles - Infra ‣ Launching Pit,3,Planned,,
P4100,P4100 ‣ Stone Column ‣ 0,10,Planned,,
P4109,P4109 ‣ Excavation to General PL ‣ 1,500,Planned,,
P4109,P4109 ‣ Soldier Pile (H. Beams) ‣ 2,6,Planned,,
P495,P495 ‣ Excavation to Final Pit ‣ 0,550,Planned,,
P5004-72-S,P5004-72-S ‣ Mobilization ‣ 0,1,Planned,,
P5004-72-S,P5004-72-S ‣ Predrilling for Soldier Piles ‣ 0,5,Planned,,
P5004-73-S,P5004-73-S ‣ Mobilization ‣ 0,1,Planned,,
P5004-73-S,P5004-73-S ‣ Predrilling for Soldier Piles ‣ 0,6,Planned,,
P5007,P5007 ‣ Secant Pile ‣ 1,5,Planned,,
P5007,P5007 ‣ Guide Wall ‣ 2,25,Planned,,
P5009,P5009 ‣ C.Piles 1500mm ‣ 0,4,Planned,,
P5021,P5021 ‣ Supply of Concrete Panel ‣ 0,20,Planned,,
P5023,P5023 ‣ CMC Column ‣ 1,6,Planned,,
P5023,P5023 ‣ Stone Column ‣ 2,6,Planned,,
P5025-E,P5025-E ‣ Predrilling for Sheet Piles - Infra ‣ Launching Pit,3,Planned,,
P5025-E,P5025-E ‣ Predrilling for Sheet Piles - Infra ‣ Launching Pit,3,Planned,,
P5025-E,P5025-E ‣ Predrilling for Sheet Piles - Infra ‣ Launching Pit,3,Planned,,
P5026,P5026 ‣ Stone Column ‣ 0,8,Planned,,
P5030,P5030 ‣ Plate Load Test ‣ 0,1,Planned,,
P5031,P5031 ‣ Vibro Compaction ‣ 0,10,Planned,,
P5044,P5044 ‣ Vibro Compaction ‣ 0,11,Planned,,
P4110-P,P4110-P ‣ C.Piles 1200mm ‣ 4,17,Planned,,
P4110-P,P4110-P ‣ Caliper Logging Test ‣ 0,9,Planned,,
P466-F10,P466-F10 ‣ Secant Pile ‣ 0,5,Planned,,
P478,P478 ‣ Secant Pile ‣ 1,4,Planned,,
P5003-S,P5003-S ‣ Secant Pile ‣ 2,7,Planned,,
P486,P486 ‣ Excavation -2.00m ‣ 0,160,Planned,,
P5025-E,P5025-E ‣ Predrilling for Sheet Piles - Infra ‣ Launching Pit,3,Planned,,
P4100,P4100 ‣ Stone Column ‣ 0,10,Planned,,
P4109,P4109 ‣ Excavation to General PL ‣ 1,500,Planned,,
P4109,P4109 ‣ Soldier Pile (H. Beams) ‣ 2,6,Planned,,
P495,P495 ‣ Excavation to Final Pit ‣ 0,600,Planned,,
P5004-72-S,P5004-72-S ‣ Predrilling for Soldier Piles ‣ 0,6,Planned,,
P5004-73-S,P5004-73-S ‣ Predrilling for Soldier Piles ‣ 0,6,Planned,,
P5007,P5007 ‣ Secant Pile ‣ 1,5,Planned,,
P5007,P5007 ‣ Guide Wall ‣ 2,25,Planned,,
P5009,P5009 ‣ C.Piles 1500mm ‣ 0,4,Planned,,
P5021,P5021 ‣ Supply of Concrete Panel ‣ 0,20,Planned,,
P5023,P5023 ‣ CMC Column ‣ 1,6,Planned,,
P5023,P5023 ‣ Stone Column ‣ 2,6,Planned,,
P5025-E,P5025-E ‣ Predrilling for Sheet Piles - Infra ‣ Launching Pit,3,Planned,,
P5025-E,P5025-E ‣ Predrilling for Sheet Piles - Infra ‣ Launching Pit,3,Planned,,
P5025-E,P5025-E ‣ Predrilling for Sheet Piles - Infra ‣ Launching Pit,3,Planned,,
P5026,P5026 ‣ Stone Column ‣ 0,8,Planned,,
P5030,P5030 ‣ Zone Load Test ‣ 0,1,Planned,,
P5031,P5031 ‣ Vibro Compaction ‣ 0,10,Planned,,
P5044,P5044 ‣ Vibro Compaction ‣ 0,11,Planned,,
P4110-P,P4110-P ‣ C.Piles 1200mm ‣ 4,17,Planned,,
P4110-P,P4110-P ‣ Caliper Logging Test ‣ 0,9,Planned,,
P466-F10,P466-F10 ‣ Secant Pile ‣ 0,5,Planned,,
P478,P478 ‣ Secant Pile ‣ 1,4,Planned,,
P5003-S,P5003-S ‣ Secant Pile ‣ 2,7,Planned,,
P486,P486 ‣ Excavation -2.00m ‣ 0,160,Planned,,
P484,P484 ‣ Capping Beam ‣ 2,9,Planned,,
P5025-E,P5025-E ‣ Predrilling for Sheet Piles - Infra ‣ Launching Pit,3,Planned,,
P4100,P4100 ‣ Stone Column ‣ 0,10,Planned,,
P4109,P4109 ‣ Excavation to General PL ‣ 1,600,Planned,,
P4109,P4109 ‣ Soldier Pile (H. Beams) ‣ 2,6,Planned,,
P4110,P4110 ‣ Mobilization ‣ 0,1,Planned,,
P495,P495 ‣ Excavation to Final Pit ‣ 0,600,Planned,,
P5004-72-S,P5004-72-S ‣ Predrilling for Soldier Piles ‣ 0,6,Planned,,
P5004-73-S,P5004-73-S ‣ Predrilling for Soldier Piles ‣ 0,6,Planned,,
P5007,P5007 ‣ Secant Pile ‣ 1,5,Planned,,
P5007,P5007 ‣ Guide Wall ‣ 2,25,Planned,,
P5009,P5009 ‣ C.Piles 1500mm ‣ 0,4,Planned,,
P5021,P5021 ‣ Supply of Concrete Panel ‣ 0,20,Planned,,
P5023,P5023 ‣ CMC Column ‣ 1,6,Planned,,
P5023,P5023 ‣ Stone Column ‣ 2,6,Planned,,
P5025-E,P5025-E ‣ Predrilling for Sheet Piles - Infra ‣ Receiving Pit,2,Planned,,
P5025-E,P5025-E ‣ Predrilling for Sheet Piles - Infra ‣ Receiving Pit,2,Planned,,
P5025-E,P5025-E ‣ Predrilling for Sheet Piles - Infra ‣ Receiving Pit,2,Planned,,
P5026,P5026 ‣ Stone Column ‣ 0,8,Planned,,
P5031,P5031 ‣ Vibro Compaction ‣ 0,10,Planned,,
P5044,P5044 ‣ Vibro Compaction ‣ 0,11,Planned,,
P4110-P,P4110-P ‣ C.Piles 1200mm ‣ 4,17,Planned,,
P4110-P,P4110-P ‣ Caliper Logging Test ‣ 0,9,Planned,,
P466-F09,P466-F09 ‣ Strut Work ‣ 1,1,Planned,,
P466-F10,P466-F10 ‣ Secant Pile ‣ 0,5,Planned,,
P478,P478 ‣ Secant Pile ‣ 1,4,Planned,,
P5003-S,P5003-S ‣ Secant Pile ‣ 2,7,Planned,,
P484,P484 ‣ Secant Pile ‣ 3,4,Planned,,
P5025-E,P5025-E ‣ Predrilling for Sheet Piles - Infra ‣ Receiving Pit,2,Planned,,
P4100,P4100 ‣ Stone Column ‣ 0,10,Planned,,
P4109,P4109 ‣ Excavation to Final Pit ‣ 1,64,Planned,,
P4109,P4109 ‣ Supply & Installation of Concrete Panels ‣ 2,20,Planned,,
P495,P495 ‣ Excavation to Final Pit ‣ 0,600,Planned,,
P5004-72-S,P5004-72-S ‣ Predrilling for Soldier Piles ‣ 0,6,Planned,,
P5004-73-S,P5004-73-S ‣ Predrilling for Soldier Piles ‣ 0,6,Planned,,
P5007,P5007 ‣ Secant Pile ‣ 1,5,Planned,,
P5009,P5009 ‣ C.Piles 1500mm ‣ 0,4,Planned,,
P5023,P5023 ‣ CMC Column ‣ 1,6,Planned,,
P5023,P5023 ‣ Stone Column ‣ 2,6,Planned,,
P5025-E,P5025-E ‣ Predrilling for Sheet Piles - Infra ‣ Receiving Pit,2,Planned,,
P5025-E,P5025-E ‣ Predrilling for Sheet Piles - Infra ‣ Receiving Pit,2,Planned,,
P5025-E,P5025-E ‣ Predrilling for Sheet Piles - Infra ‣ Receiving Pit,2,Planned,,
P5026,P5026 ‣ Stone Column ‣ 0,8,Planned,,
P5031,P5031 ‣ Vibro Compaction ‣ 0,10,Planned,,
P5044,P5044 ‣ Vibro Compaction ‣ 0,11,Planned,,
P4110-P,P4110-P ‣ C.Piles 1200mm ‣ 4,18,Planned,,
P4110-P,P4110-P ‣ Caliper Logging Test ‣ 0,10,Planned,,
P466-F10,P466-F10 ‣ Secant Pile ‣ 0,5,Planned,,
P478,P478 ‣ Secant Pile ‣ 1,5,Planned,,
P4100,P4100 ‣ Stone Column ‣ 0,10,Planned,,
P4109,P4109 ‣ Excavation to Final Pit ‣ 1,64,Planned,,
P4109,P4109 ‣ Supply & Installation of Concrete Panels ‣ 2,20,Planned,,
P495,P495 ‣ Excavation to Final Pit ‣ 0,600,Planned,,
P5004-72-S,P5004-72-S ‣ Predrilling for Soldier Piles ‣ 0,6,Planned,,
P5004-73-S,P5004-73-S ‣ Predrilling for Soldier Piles ‣ 0,6,Planned,,
P5007,P5007 ‣ Secant Pile ‣ 1,5,Planned,,
P5009,P5009 ‣ C.Piles 1500mm ‣ 0,4,Planned,,
P5023,P5023 ‣ CMC Column ‣ 1,7,Planned,,
P5023,P5023 ‣ Stone Column ‣ 2,6,Planned,,
P5025-E,P5025-E ‣ Predrilling for Sheet Piles - Infra ‣ Receiving Pit,2,Planned,,
P5025-E,P5025-E ‣ Predrilling for Sheet Piles - Infra ‣ Receiving Pit,3,Planned,,
P5026,P5026 ‣ Stone Column ‣ 0,8,Planned,,
P5031,P5031 ‣ Vibro Compaction ‣ 0,10,Planned,,
P5038,P5038 ‣ Pre-CPT ‣ 0,8,Planned,,
P5044,P5044 ‣ Vibro Compaction ‣ 0,11,Planned,,
P4110-P,P4110-P ‣ C.Piles 1200mm ‣ 4,18,Planned,,
P4110-P,P4110-P ‣ Static Test ‣ 0,3,Planned,,
P466-F10,P466-F10 ‣ Secant Pile ‣ 0,6,Planned,,
P478,P478 ‣ Secant Pile ‣ 1,5,Planned,,
P4100,P4100 ‣ Stone Column ‣ 0,10,Planned,,
P4109,P4109 ‣ Excavation to Final Pit ‣ 1,64,Planned,,
P4109,P4109 ‣ Supply & Installation of Concrete Panels ‣ 2,20,Planned,,
P495,P495 ‣ Excavation to Final Pit ‣ 0,480,Planned,,
P5003-P,P5003-P ‣ C.Piles 750mm ‣ 1,4,Planned,,
P5004-72-S,P5004-72-S ‣ Predrilling for Soldier Piles ‣ 0,6,Planned,,
P5004-73-S,P5004-73-S ‣ Predrilling for Soldier Piles ‣ 0,6,Planned,,
P5007,P5007 ‣ Secant Pile ‣ 1,5,Planned,,
P5009,P5009 ‣ C.Piles 1500mm ‣ 0,4,Planned,,
P5023,P5023 ‣ CMC Column ‣ 1,6,Planned,,
P5023,P5023 ‣ Stone Column ‣ 2,6,Planned,,
P5025-E,P5025-E ‣ Predrilling for Sheet Piles - Infra ‣ Receiving Pit,3,Planned,,
P5025-E,P5025-E ‣ Predrilling for Sheet Piles - Infra ‣ Receiving Pit,3,Planned,,
P5026,P5026 ‣ Stone Column ‣ 0,8,Planned,,
P5031,P5031 ‣ Vibro Compaction ‣ 0,10,Planned,,
P5038,P5038 ‣ Vibro Compaction ‣ 0,11,Planned,,
P5041,P5041 ‣ Site Preliminaries ‣ 0,1,Planned,,
P5041,P5041 ‣ Mobilization ‣ 0,1,Planned,,
P5044,P5044 ‣ Vibro Compaction ‣ 0,11,Planned,,
P4110-P,P4110-P ‣ C.Piles 1200mm ‣ 4,18,Planned,,
P4110-P,P4110-P ‣ Static Test ‣ 0,3,Planned,,
P466-F10,P466-F10 ‣ Secant Pile ‣ 0,6,Planned,,
P478,P478 ‣ Secant Pile ‣ 1,5,Planned,,
P5032-S,P5032-S ‣ Mobilization ‣ 0,1,Planned,,
P484,P484 ‣ Capping Beam ‣ 2,9,Planned,,
P4100,P4100 ‣ Stone Column ‣ 0,10,Planned,,
P4109,P4109 ‣ Excavation to Final Pit ‣ 1,64,Planned,,
P4109,P4109 ‣ Supply & Installation of Concrete Panels ‣ 2,20,Planned,,
P5003-P,P5003-P ‣ C.Piles 750mm ‣ 1,4,Planned,,
P5004-72-S,P5004-72-S ‣ Predrilling for Soldier Piles ‣ 0,6,Planned,,
P5004-73-S,P5004-73-S ‣ Predrilling for Soldier Piles ‣ 0,6,Planned,,
P5007,P5007 ‣ Secant Pile ‣ 1,5,Planned,,
P5009,P5009 ‣ C.Piles 1500mm ‣ 0,4,Planned,,
P5023,P5023 ‣ CMC Column ‣ 1,6,Planned,,
P5023,P5023 ‣ Stone Column ‣ 2,6,Planned,,
P5025-E,P5025-E ‣ Predrilling for Sheet Piles - Infra ‣ Receiving Pit,3,Planned,,
P5025-E,P5025-E ‣ Predrilling for Sheet Piles - Infra ‣ Receiving Pit,3,Planned,,
P5025-E,P5025-E ‣ Predrilling for Sheet Piles - Infra ‣ Receiving Pit,3,Planned,,
P5025-E,P5025-E ‣ Predrilling for Sheet Piles - Infra ‣ Receiving Pit,3,Planned,,
P5025-E,P5025-E ‣ Predrilling for Sheet Piles - Infra ‣ Receiving Pit,3,Planned,,
P5025-E,P5025-E ‣ Predrilling for Sheet Piles - Infra ‣ Receiving Pit,3,Planned,,
P5026,P5026 ‣ Stone Column ‣ 0,8,Planned,,
P5031,P5031 ‣ Vibro Compaction ‣ 0,10,Planned,,
P5038,P5038 ‣ Vibro Compaction ‣ 0,11,Planned,,
P5044,P5044 ‣ Vibro Compaction ‣ 0,11,Planned,,
P4110-P,P4110-P ‣ C.Piles 1500mm ‣ 4,19,Planned,,
P4110-P,P4110-P ‣ Static Test ‣ 0,3,Planned,,
P486,P486 ‣ Excavation -2.00m ‣ 0,163,Planned,,
P466-F10,P466-F10 ‣ Secant Pile ‣ 0,6,Planned,,
P478,P478 ‣ Secant Pile ‣ 1,5,Planned,,
P5003-S,P5003-S ‣ Secant Pile ‣ 2,7,Planned,,
P4100,P4100 ‣ Stone Column ‣ 0,10,Planned,,
P4109,P4109 ‣ Excavation to Final Pit ‣ 1,64,Planned,,
P4109,P4109 ‣ Supply & Installation of Concrete Panels ‣ 2,20,Planned,,
P5003-P,P5003-P ‣ C.Piles 750mm ‣ 1,4,Planned,,
P5004-72-S,P5004-72-S ‣ Predrilling for Soldier Piles ‣ 0,6,Planned,,
P5004-73-S,P5004-73-S ‣ Predrilling for Soldier Piles ‣ 0,6,Planned,,
P5007,P5007 ‣ Secant Pile ‣ 1,5,Planned,,
P5009,P5009 ‣ C.Piles 1500mm ‣ 0,4,Planned,,
P5023,P5023 ‣ CMC Column ‣ 1,6,Planned,,
P5023,P5023 ‣ Stone Column ‣ 2,6,Planned,,
P5025-E,P5025-E ‣ Predrilling for Sheet Piles - Infra ‣ Receiving Pit,3,Planned,,
P5025-E,P5025-E ‣ Predrilling for Sheet Piles - Infra ‣ Receiving Pit,3,Planned,,
P5025-E,P5025-E ‣ Predrilling for Sheet Piles - Infra ‣ Receiving Pit,3,Planned,,
P5025-E,P5025-E ‣ Predrilling for Sheet Piles - Infra ‣ Receiving Pit,3,Planned,,
P5026,P5026 ‣ Stone Column ‣ 0,8,Planned,,
P5031,P5031 ‣ Vibro Compaction ‣ 0,10,Planned,,
P5038,P5038 ‣ Vibro Compaction ‣ 0,11,Planned,,
P5044,P5044 ‣ Vibro Compaction ‣ 0,11,Planned,,
P4110-P,P4110-P ‣ C.Piles 1500mm ‣ 4,19,Planned,,
P4110-P,P4110-P ‣ Static Test ‣ 0,3,Planned,,
P486,P486 ‣ Excavation to Final Pit ‣ 0,265,Planned,,
P466-F10,P466-F10 ‣ Secant Pile ‣ 0,6,Planned,,
P478,P478 ‣ Secant Pile ‣ 1,5,Planned,,
P5003-S,P5003-S ‣ Capping Beam ‣ 2,14,Planned,,
P486,P486 ‣ Excavation -2.00m ‣ 0,36,Planned,,
P484,P484 ‣ Secant Pile ‣ 3,4,Planned,,
P4100,P4100 ‣ Stone Column ‣ 0,10,Planned,,
P4109,P4109 ‣ Excavation to Final Pit ‣ 1,65,Planned,,
P4109,P4109 ‣ Supply & Installation of Concrete Panels ‣ 2,20,Planned,,
P5003-P,P5003-P ‣ C.Piles 750mm ‣ 1,5,Planned,,
P5004-72-S,P5004-72-S ‣ Predrilling for Soldier Piles ‣ 0,6,Planned,,
P5004-73-S,P5004-73-S ‣ Predrilling for Soldier Piles ‣ 0,6,Planned,,
P5007,P5007 ‣ Secant Pile ‣ 1,6,Planned,,
P5009,P5009 ‣ C.Piles 1500mm ‣ 0,4,Planned,,
P5023,P5023 ‣ CMC Column ‣ 1,6,Planned,,
P5023,P5023 ‣ Stone Column ‣ 2,5,Planned,,
P5025-E,P5025-E ‣ Predrilling for Sheet Piles - Infra ‣ Receiving Pit,3,Planned,,
P5025-E,P5025-E ‣ Predrilling for Sheet Piles - Infra ‣ Receiving Pit,3,Planned,,
P5025-E,P5025-E ‣ Predrilling for Sheet Piles - Infra ‣ Receiving Pit,3,Planned,,
P5025-E,P5025-E ‣ Sheet Pile - Infra ‣ Launching Pit,3,Planned,,
P5026,P5026 ‣ Stone Column ‣ 0,8,Planned,,
P5031,P5031 ‣ Vibro Compaction ‣ 0,10,Planned,,
