Project Full Code,Activity Name,Quantity,Input Type,Section,Drilled Meters
P311,P311 ‣ Excavation to Final Pit ‣ 1,564,Planned,,
P311,P311 ‣ Running of Dewatering System ‣ 0,1,Planned,,
P4110,P4110 ‣ Deep Well Installation ‣ 0,3,Planned,,
P452,P452 ‣ Secant Pile ‣ 0,9,Planned,,
P461,P461 ‣ Adjustment ‣ 0,1,Planned,,Variation for Dewatering Tanker
P468-P,P468-P ‣ C.Piles 1000mm ‣ 0,11,Planned,,
P473,P473 ‣ Secant Pile ‣ 0,6,Planned,,
P473,P473 ‣ Excavation & Cart Away ‣ 0,982,Planned,,
P480,P480 ‣ MSAW Test ‣ 0,1,Planned,,
P480,P480 ‣ Soldier Pile (H. Beams) ‣ 0,19,Planned,,
P480,P480 ‣ Local Shoring ‣ 0,22,Planned,,
P480,P480 ‣ Post-CPT ‣ 0,4,Planned,,
P491,P491 ‣ Secant Pile ‣ 0,7,Planned,,
P493,P493 ‣ C.Piles 1000mm ‣ 0,5,Planned,,
P494,P494 ‣ Secant Pile ‣ 0,5,Planned,,
P494,P494 ‣ Disposal of pile excavated Material ‣ 0,25,Planned,,
P499,P499 ‣ Vibro Compaction ‣ 0,14,Planned,,
P466-F09,P466-F09 ‣ Secant Pile ‣ 0,6,Planned,,
P466-F09,P466-F09 ‣ Secant Pile ‣ 0,6,Planned,,
P311,P311 ‣ Running of Dewatering System ‣ 0,1,Planned,,
P4104-606 & 707,P4104-606 & 707 ‣ Secant Pile ‣ 0,5,Planned,,
P4104-909,P4104-909 ‣ Guide Wall ‣ 0,14,Planned,,
P4108,P4108 ‣ Vibro Compaction ‣ 0,25,Planned,,
P4110,P4110 ‣ Deep Well Installation ‣ 0,3,Planned,,
P452,P452 ‣ Secant Pile ‣ 0,9,Planned,,
P468-P,P468-P ‣ C.Piles 1000mm ‣ 0,11,Planned,,
P473,P473 ‣ Secant Pile ‣ 0,6,Planned,,
P473,P473 ‣ Excavation & Cart Away ‣ 0,982,Planned,,
P480,P480 ‣ Plate Load Test ‣ 0,4,Planned,,
P480,P480 ‣ Local Shoring ‣ 0,22,Planned,,
P491,P491 ‣ Secant Pile ‣ 0,7,Planned,,
P492,P492 ‣ Static Test ‣ 0,1,Planned,,
P493,P493 ‣ C.Piles 1000mm ‣ 0,5,Planned,,
P494,P494 ‣ Secant Pile ‣ 0,5,Planned,,
P494,P494 ‣ Disposal of pile excavated Material ‣ 0,25,Planned,,
P499,P499 ‣ Vibro Compaction ‣ 0,14,Planned,,
P466-F09,P466-F09 ‣ Secant Pile ‣ 0,6,Planned,,
P466-F09,P466-F09 ‣ Secant Pile ‣ 0,6,Planned,,
P311,P311 ‣ Excavation to Final Pit ‣ 2,705,Planned,,
P311,P311 ‣ Running of Dewatering System ‣ 0,1,Planned,,
P4104-606 & 707,P4104-606 & 707 ‣ Secant Pile ‣ 0,5,Planned,,
P4104-909,P4104-909 ‣ Guide Wall ‣ 0,24,Planned,,
P4105,P4105 ‣ Stone Column ‣ 0,17,Planned,,
P4108,P4108 ‣ Vibro Compaction ‣ 0,25,Planned,,
P4110,P4110 ‣ Deep Well Installation ‣ 0,3,Planned,,
P468-P,P468-P ‣ C.Piles 1000mm ‣ 0,11,Planned,,
P473,P473 ‣ Secant Pile ‣ 0,6,Planned,,
P473,P473 ‣ Excavation & Cart Away ‣ 0,982,Planned,,
P480,P480 ‣ Local Shoring ‣ 0,22,Planned,,
P480,P480 ‣ Supply & Installation of Concrete Panels ‣ 0,15,Planned,,
P492,P492 ‣ Dynamic Test ‣ 0,7,Planned,,
P492,P492 ‣ Deep Well Installation ‣ 0,13,Planned,,
P493,P493 ‣ C.Piles 1000mm ‣ 0,5,Planned,,
P494,P494 ‣ Secant Pile ‣ 0,5,Planned,,
P494,P494 ‣ Disposal of pile excavated Material ‣ 0,25,Planned,,
P499,P499 ‣ Vibro Compaction ‣ 0,14,Planned,,
P466-F09,P466-F09 ‣ Secant Pile ‣ 0,6,Planned,,
P466-F09,P466-F09 ‣ Secant Pile ‣ 0,6,Planned,,
P311,P311 ‣ Running of Dewatering System ‣ 0,1,Planned,,
P493,P493 ‣ C.Piles 1000mm ‣ 0,5,Planned,,
P311,P311 ‣ Excavation to Final Pit ‣ 2,705,Planned,,
P311,P311 ‣ Running of Dewatering System ‣ 0,1,Planned,,
P4104-606 & 707,P4104-606 & 707 ‣ Secant Pile ‣ 0,5,Planned,,
P4104-909,P4104-909 ‣ Secant Pile ‣ 0,4,Planned,,
P4105,P4105 ‣ Stone Column ‣ 0,17,Planned,,
P4108,P4108 ‣ Vibro Compaction ‣ 0,25,Planned,,
P452,P452 ‣ Secant Pile ‣ 0,9,Planned,,
P468-P,P468-P ‣ C.Piles 1000mm ‣ 0,11,Planned,,
P473,P473 ‣ Capping Beam ‣ 0,9,Planned,,
P473,P473 ‣ Excavation & Cart Away ‣ 0,982,Planned,,
P480,P480 ‣ Local Shoring ‣ 0,22,Planned,,
P480,P480 ‣ Supply & Installation of Concrete Panels ‣ 0,16,Planned,,
P491,P491 ‣ Capping Beam ‣ 0,10,Planned,,
P492,P492 ‣ Sonic Test ‣ 0,13,Planned,,
P493,P493 ‣ C.Piles 1000mm ‣ 0,6,Planned,,
P494,P494 ‣ Secant Pile ‣ 0,5,Planned,,
P494,P494 ‣ Disposal of pile excavated Material ‣ 0,25,Planned,,
P499,P499 ‣ Vibro Compaction ‣ 0,14,Planned,,
P466-F09,P466-F09 ‣ Secant Pile ‣ 0,6,Planned,,
P466-F09,P466-F09 ‣ Secant Pile ‣ 0,6,Planned,,
P311,P311 ‣ Excavation to Final Pit ‣ 2,705,Planned,,
P311,P311 ‣ Running of Dewatering System ‣ 0,1,Planned,,
P4104-606 & 707,P4104-606 & 707 ‣ Secant Pile ‣ 0,5,Planned,,
P4104-909,P4104-909 ‣ Secant Pile ‣ 0,4,Planned,,
P4105,P4105 ‣ Stone Column ‣ 0,17,Planned,,
P4108,P4108 ‣ Vibro Compaction ‣ 0,25,Planned,,
P484,P484 ‣ Mobilization ‣ 0,1,Planned,,
P452,P452 ‣ Secant Pile ‣ 0,9,Planned,,
P468-P,P468-P ‣ C.Piles 1000mm ‣ 0,11,Planned,,
P473,P473 ‣ Capping Beam ‣ 0,9,Planned,,
P473,P473 ‣ Excavation & Cart Away ‣ 0,982,Planned,,
P480,P480 ‣ Local Shoring ‣ 0,22,Planned,,
P480,P480 ‣ Supply & Installation of Concrete Panels ‣ 0,16,Planned,,
P491,P491 ‣ Capping Beam ‣ 0,10,Planned,,
P492,P492 ‣ Integrity Test ‣ 0,128,Planned,,
P493,P493 ‣ C.Piles 1000mm ‣ 0,6,Planned,,
P494,P494 ‣ Secant Pile ‣ 0,5,Planned,,
P494,P494 ‣ Disposal of pile excavated Material ‣ 0,26,Planned,,
P499,P499 ‣ Vibro Compaction ‣ 0,14,Planned,,
P466-F09,P466-F09 ‣ Secant Pile ‣ 0,6,Planned,,
P466-F09,P466-F09 ‣ Secant Pile ‣ 0,6,Planned,,
P311,P311 ‣ Excavation to Final Pit ‣ 2,705,Planned,,
P311,P311 ‣ Running of Dewatering System ‣ 0,1,Planned,,
P4104-606 & 707,P4104-606 & 707 ‣ Secant Pile ‣ 0,5,Planned,,
P4104-909,P4104-909 ‣ Secant Pile ‣ 0,4,Planned,,
P4105,P4105 ‣ Stone Column ‣ 0,17,Planned,,
P4108,P4108 ‣ Vibro Compaction ‣ 0,25,Planned,,
P452,P452 ‣ Secant Pile ‣ 0,10,Planned,,
P468-P,P468-P ‣ C.Piles 1000mm ‣ 0,11,Planned,,
P473,P473 ‣ Capping Beam ‣ 0,9,Planned,,
P473,P473 ‣ Excavation & Cart Away ‣ 0,982,Planned,,
P480,P480 ‣ Local Shoring ‣ 0,23,Planned,,
P480,P480 ‣ Supply & Installation of Concrete Panels ‣ 0,16,Planned,,
P491,P491 ‣ Capping Beam ‣ 0,11,Planned,,
P493,P493 ‣ C.Piles 1000mm ‣ 0,6,Planned,,
P494,P494 ‣ Secant Pile ‣ 0,5,Planned,,
P494,P494 ‣ Disposal of pile excavated Material ‣ 0,26,Planned,,
